id,title,product_type,currency,value,availability,image_link,link
GGEBCCBA112799,Community Playlist Competition Kit,tbd,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,https://shop.googlemerchandisestore.com/Google+EBC+Portal/Community+Playlist+Competition+Kit
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,Apparel,USD,43,in_stock,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Womens+Full+Zip+Hoodie+Data+Engineer+EU
GGOEGDHR018499,Google 22 oz Water Bottle,Drinkware,USD,2.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHR018499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Bottles/Google+22+oz+Water+Bottle+red.axd
GGOEGAEJ168617,Google Campus Unisex Zip Hoodie,Apparel,USD,60,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1686.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Campus+Unisex+Zip+Hoodie
GGCPCBBB177999,Google Cloud ASL Packing Cubes,tbd,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Google+Cloud+ASL+Packing+Cubes
GGSIGBRB101299,Google Cloud GSI Backpack,Bags,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGBRB101299.jpg,https://shop.googlemerchandisestore.com/Google+GSI+Enablement/Google+Cloud+GSI+Backpack
GGOECOLJ199399,Google Cloud Large Executive Journal,Office,USD,30,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECOLJ199399.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Cloud+Large+Executive+Journal
GGEBCAPJ100410,Google Cloud Leatherette Patch Hat,tbd,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCAPJ100410.jpg,https://shop.googlemerchandisestore.com/Google+EBC+Portal/Google+Cloud+Leatherette+Patch+Hat
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Apparel,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,https://shop.googlemerchandisestore.com/Google+GSI+Enablement/Google+Cloud+Mens+Patagonia+Sweater+Grey
GGEBCCBQ101599,Google Cloud Sports Towel,tbd,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBQ101599.jpg,https://shop.googlemerchandisestore.com/Google+EBC+Portal/Google+Cloud+Sports+Towel
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,69,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Cloud+Unisex+Onyx+Zip+Hoodie
GGPRGCBA113415,Google Explorer Set Women's,Kit,USD,120,out_of_stock,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGXXX1134.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Google+Explorer+Set+Womens
GGCPGAED157110,Google Heathered Pom Beanie,tbd,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGAED157110.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Google+Heathered+Pom+Beanie
GGOEGAWR061849,Google Infant Short Sleeve Tee Red,Apparel,USD,16.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0618.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids/Kids+Infant/Google+Infant+Short+Sleeve+Tee+Red.axd
GGOEGAXQ089128,Google Kids Tee White,Apparel,USD,19.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,https://shop.googlemerchandisestore.com/Google+Redesin/Kids/Google+Kids+Tee+White
GGOEGCBA150799,Google Large Pet Leash (Red/Yellow),Accessories,USD,35,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA150799.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Large+Pet+Leash+Red+Yellow
GGOEGBTQ125999,Google Large White Gift Bag,Bags,USD,3,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Large+White+Gift+Bag
GGOEGCXH216699,Google Mountain View Campus Socks,Apparel,USD,18,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCXH216699.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Mountain+View+Campus+Socks
GGCPGBJB162499,Google Packable Bag Black Sales School Kit,tbd,USD,46.2,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBJB162499.jpg,https://shop.googlemerchandisestore.com/Google+Perks+Portal/Google+Packable+Bag+Black+SS
GGPRGBRJ109599,Google Recycled Cooler Backpack,Bags,USD,30,in_stock,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGBRJ109599.jpg,https://shop.googlemerchandisestore.com/Google+Prize+Portal/Google+Recycled+Cooler+Backpack
GGOEGCBR136499,Google Red YoYo,Accessories,USD,4,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBR136499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Red+YoYo
GGOEGBJH124599,Google Seaport Tote,Bags,USD,64,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBJH124599.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Seaport+Tote
GGOEGCKH148999,Google Seattle Campus Sticker,Accessories,USD,2,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCKH148999.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Seattle+Campus+Sticker
GGOEGBPB021199,Google Slim Utility Travel Bag,Bags,USD,14.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBPB021199.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Totes/Google+travels+Slim+Utility+Travel+Bag.axd
GGOEGDNB206499,Google Speckled MiiR Tumbler,Drinkware,USD,42,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB206499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Speckled+MiiR+Tumbler
GGOEGCBA186399,Google Striped Shoelaces Black,Accessories,USD,5,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA186399.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Striped+Shoelaces+Black
GGOEGBGJ132699,Google Tech Taco,Accessories,USD,4,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBGJ132699.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Tech+Taco
GGOEGAEH119718,Google Tee Mint Green,Apparel,USD,25,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1197.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tee+Mint+Green
GGOEGDNL108699,Google Thermal Tumbler Navy,Drinkware,USD,18,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNL108699.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Thermal+Tumbler+Navy
GGOEGETR014599,Google Tube Power Bank,Electronics,USD,16.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGETR014599.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Electronics/Power/Google+Tube+Power+Bank.axd
GGOEGALL060014,Google Women's Short Sleeve Performance Tee Navy,Apparel,USD,21.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0600.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Women+s+Google+Short+Sleeve+Performance+Tee+Navy.axd
GGOEGALJ060114,Google Women's Short Sleeve Performance Tee Pewter,Apparel,USD,21.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0601.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Women+s+Google+Short+Sleeve+Performance+Tee+GnMtl.axd
GGOEGAYC135814,Google Youth Badge Tee Navy,Apparel,USD,24,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1358.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Badge+Tee+Navy
GGOEGAYB116715,Google Youth F/C Pullover Hoodie,Apparel,USD,40,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1167.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+FC+Pullover+Hoodie
GGOEGAYH067925,Google Youth Girl Tee Green,Apparel,USD,18.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Men+s+T+Shirts/Google+Youth+Girl+Tee+Green.axd
GGCPHAAC114313,Hash Code 1st Place Men's Kit (SM),Kit,USD,180,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Hash+Code+1st+Place+Unisex+Kit
GGCOGAFB218616,Hola Men's Pullover,Apparel,USD,94,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGCOGXXX2186.jpg,https://shop.googlemerchandisestore.com//HOLA+Men-s+Pullover
GGCLCCBJ112499,Hybrid Cloud Closer Laptop Briefcase,Bags,USD,165,in_stock,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBJ112499.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Hybrid+Multi+Cloud+Closer+Laptop+Briefcase
GGCPTBDA189999,Kick Start 2021 Kit B,Kit,USD,18.29,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPTBDA189999.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Kick+Start+2021+Kit+B
GGCPGDNQ201799,Miir Vacuum Insulated Tumbler 16oz,Drinkware,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGDNQ201799.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/16oz+CamelBak+Tumbler
GGOEGAEB197016,Mixed Googlers Unisex Eco Tee,Apparel,USD,38.12,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1970.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mixed+Googlers+Unisex+Eco+Tee
GGCPGADB152517,N3Q Men's The North Face High Loft Fleece Jacket,Apparel,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1525.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/N3Q+Mens+The+North+Face+High+Loft+Fleece+Jacket
GGCPGAPB153616,N3Q Women's Marmot Insulated Jacket,Apparel,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1536.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/N3Q+Womens+Marmot+Insulated+Jacket
GGOSGDWA113999,OSS Black Camp Mug and Pillow Gift Set,Kit,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGCPGDWA171799.jpg,https://shop.googlemerchandisestore.com/Google+OSS+Portal/OSS+Black+Camp+Mug+and+Pillow+Gift+Set
GGCPGCBA201399,OnGuard PitBull Double-Team U-Lock and Cable,Accessories,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBA201399.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/OnGuard+Pitbull+Double+Tem+Ulock+Cable
GGCPGADJ117517,Port Authority Men's Puffy Jacket,Apparel,USD,63,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1175.jpg,https://shop.googlemerchandisestore.com/Google+Perks+Portal/Port+Authority+Unisex+Puffy+Jacket
GGQLQAEQ101014,Qwiklabs Tee,Apparel,USD,8,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGQLQXXX1010.jpg,https://shop.googlemerchandisestore.com/Google+Perks+Portal/ApparelQwiklabs+Tee
GGOSGAEB107116,Season of Docs 2019 Unisex Tee -,Apparel,USD,15,out_of_stock,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGCPGXXX1372.jpg,https://shop.googlemerchandisestore.com/Google+OSS+Portal/Season+of+Docs+2019+Unisex+Tee
GGCLCCBA126899,Security Engineer Recertification Vacuum Insulated Gift Set,Kit,USD,60,in_stock,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA126899.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Professional+Cloud+Security+Engineer+Recertification+Vacuum+Insulated+Gift+Set
GGOEGATB222914,Super G Glacier Womens Puffer Jacket,Apparel,USD,125,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2229.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Super+G+Glacier+Womens+Puffer+Jacket
GGOEGHPH221510,Super G Tetons Eco Beanie,Apparel,USD,30,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGHPH221510.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Super+G+Tetons+Eco+Beanie
GGCPGCBA145499,Tier 0089 Bundle 4,Kit,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBA145499.jpg,https://shop.googlemerchandisestore.com/Google+Perks+Portal/Tier+0089+Bundle+4
GGCPGBRJ301399,Timbuk2 Incognito messenger bag,Apparel,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBRJ301399.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Timbuk2+Incognito+messenger+bag
GGCPGAAJ133812,Unisex Tee Set (Gray N3Q/Gray Sushi),Kit,USD,31,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1338.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Unisex+Tee+Set+Gray+N3Q+Gray+Sushi
GGCPWAEB402312,Waze Unisex T-shirt - XS,Apparel,USD,26.93,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPWXXX4023.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Waze+Unisex+TshirT
GGOEAKDH019899,Windup Android,Accessories,USD,3.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAKDH019899.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Fun/Windup+Android.axd
GGCPGALJ122816,"Women's Google Play Tee, Mouse Pad, and Mug Kit",Kit,USD,138,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1228.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Womens+Google+Play+Tee+Mouse+Pad+and+Mug+Kit
GGPRYAEB110113,YouTube Black Pullover,Apparel,USD,60,out_of_stock,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRYXXX1101.jpg,https://shop.googlemerchandisestore.com/Google+Prize+Portal/YouTube+Black+Pullover
GGOEYOCR077799,YouTube Hard Cover Journal,Office,USD,14.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEYOCR077799.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Office/Notebooks+Journals/YouTube+Hard+Cover+Journal.axd
GGOEYCBA182599,YouTube Kids T-Rex Keychain,Accessories,USD,8,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEYCBA182599.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/YouTube+Kids+T-Rex+Keychain
GGCPGCBC136499,g2g Ear Buds,Electronics,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBC136499.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/g2g+Ear+Buds+Blue
GGOEADHH015499,Android 24 oz Button Lid Sport Water Bottle,Drinkware,USD,23.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEADHH015499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Tumblers/24oz+Contigo+Bottle+green.axd
GGOEABRB130499,Android Iconic Backpack,Bags,USD,25,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEABRB130499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Android+Iconic+Backpack
GGOEAFKQ130699,Android Iconic Sticker Sheet,Accessories,USD,3,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAFKQ130699.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Android+Iconic+Sticker+Sheet
GGOEAAWL130145,Android Pocket Onesie Navy,Apparel,USD,22,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX1301.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Onesie+Navy
GGOEAFKA087499,Androidall Removable Sticker Sheet,Accessories,USD,2.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAFKA087499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Android+Small+Removable+Sticker+Sheet
GGOEGOKA212399,Chrome Dino Glow-in-the-Dark Sticker,Office,USD,2,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGOKA212399.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Chrome+Dino+Glow+in+the+Dark+Sticker
GGCOGCBA196499,Doogler Thanks Dawg,Office,USD,6,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGCOGCBA196499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Doogler+Thanks+Dawg+Greeting+Card
GGOEGDNB198099,For Everyone Cork Bottom Tumbler,Drinkware,USD,33,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB198099.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/For+Everyone+Cork+Bottom+Tumbler
GGOSDFKB101699,Golang Go Decal Black,MadeForGoogle,USD,1,out_of_stock,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGOSDFKB101699.jpg,https://shop.googlemerchandisestore.com/Google+OSS+Portal/Golang+Go+Decal+Black
GGOSDFBC102799,Golang Go Woven Patch Teal,Accessories,USD,2,out_of_stock,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGOSDFBC102799.jpg,https://shop.googlemerchandisestore.com/Google+OSS+Portal/Golang+Go+Woven+Patch+Teal
GGOEGPJR018999,Google 7-inch Dog Flying Disc Red,Accessories,USD,1.5,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGPJR018999.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Pet/7+inch+Dog+Safe+Flyer+red.axd
GGCPGCBA189399,Google CA 20th SWAG,Kit,USD,14.98,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBA189399.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Google+CA+20th+SWAG
GGCPGDWC129999,Google Campus Bike Corkbase Mug Blue,Drinkware,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDWC122799.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Google+Campus+Bike+Corkbase+Mug+Blue
GGOEGAEC119312,Google Campus Bike Eco Tee Navy,Apparel,USD,25,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1193.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Campus+Bike+Eco+Tee+Navy
GGOEGDHB163199,Google Chrome Dino Light Up Water Bottle,Drinkware,USD,24,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHB163199.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Chrome+Dino+Light+Up+Water+Bottle
GGOEGFKA201499,Google Classic Sticker Sheet,Accessories,USD,3,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGFKA201499.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Google+Classic+Sticker+Sheet
GGOEGAXQ196128,Google Classic White Toddler Tee,Apparel,USD,24,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1961.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Classic+White+Toddler+Tee
GGCPCAEC100018,Google Cloud Learning Tee,tbd,USD,0,out_of_stock,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1000.jpg,https://shop.googlemerchandisestore.com/Google+Perks+Portal/Unisex+Google+Cloud+Learning+Tee
GGEBCCBA101699,Google Cloud Puffy Stickers,tbd,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA101699.jpg,https://shop.googlemerchandisestore.com/Google+EBC+Portal/Google+Cloud+Puffy+Stickers
GGCPGFKA130899,Google Emoji Sticker Pack,Accessories,USD,0,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGFKA086699.jpg,https://shop.googlemerchandisestore.com/Google+Cloud+Perks/Google+Emoji+Sticker+Pack
GGOEGBBJ132799,Google Felt Luggage Tag,Accessories,USD,11,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBBJ132799.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Felt+Luggage+Tag
GGOEGAXJ164928,Google Gray Toddler Zip Hoodie,Apparel,USD,35,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1649.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Gray+Toddler+Zip+Hoodie
GGOEGDWM145899,Google LA Campus Mug,Drinkware,USD,12,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDWM145899.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+LA+Campus+Mug
GGCOGBJD157199,Google Land & Sea Tote Bag,Bags,USD,20,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGCOGBJD157199.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Tote+Bag
GGOEGBRB013899,Google Laptop Backpack,Bags,USD,99.99,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBRB013899.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Backpacks/Google+Laptop+Backpack.axd
GGOEGCBA169199,Google Mountain View Campus Patch Set,Accessories,USD,16,in_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA169199.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Patch+Set
GGOEGAEH153013,Google Mountain View Campus Unisex Tee,Apparel,USD,25,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1530.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Unisex+Tee
GGOEGAEJ153418,Google Mountain View Campus Zip Hoodie,Apparel,USD,58,out_of_stock,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1534.jpg,https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Zip+Hoodie
