id,title,product_type,currency,value,image_link,seller_name
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,69,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Quirk & Co.,4.5
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,69,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Zen Zone,4.3
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,69,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Sarcasm Society,3.8
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,69,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Minimalist Manifesto,3.9
GGPRGCBA113415,Google Explorer Set Women's,Kit,USD,120,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGXXX1134.jpg,90s Nostalgia,4.0
GGPRGCBA113415,Google Explorer Set Women's,Kit,USD,120,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGXXX1134.jpg,Custom Culture,2.7
GGCPGAED157110,Google Heathered Pom Beanie,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGAED157110.jpg,Wanderlust Wardrobe,3.2
GGCPGAED157110,Google Heathered Pom Beanie,tbd,USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGAED157110.jpg,Gadget Guru,3.0
GGOEGAWR061849,Google Infant Short Sleeve Tee Red,Apparel,USD,16.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0618.jpg,Canvas Couture,2.6
GGOEGAWR061849,Google Infant Short Sleeve Tee Red,Apparel,USD,16.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0618.jpg,Gamer Gear,3.6
GGOEGAXQ089128,Google Kids Tee White,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Inside Joke Emporium,4.0
GGOEGAXQ089128,Google Kids Tee White,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Fandom Finds,3.3
GGOEGAXQ089128,Google Kids Tee White,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Zen Zone,2.7
GGOEGAXQ089128,Google Kids Tee White,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Ironic Icons,2.5
GGOEGAXQ089128,Google Kids Tee White,Apparel,USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Ironic Icons,2.5
GGOEGCBA150799,Google Large Pet Leash (Red/Yellow),Accessories,USD,35,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA150799.jpg,Fandom Finds,3.3
GGOEGBTQ125999,Google Large White Gift Bag,Bags,USD,3,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Pop Art Provisions,3.0
GGOEGBTQ125999,Google Large White Gift Bag,Bags,USD,3,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Meme Mart,3.9
GGOEGBTQ125999,Google Large White Gift Bag,Bags,USD,3,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Fandom Finds,3.3
GGOEGBTQ125999,Google Large White Gift Bag,Bags,USD,3,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Minimalist Manifesto,3.9
GGOEGCXH216699,Google Mountain View Campus Socks,Apparel,USD,18,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCXH216699.jpg,Expression Essentials,3.1
GGCPGBJB162499,Google Packable Bag Black Sales School Kit,tbd,USD,46.2,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBJB162499.jpg,Print Pop,4.1
GGCPGBJB162499,Google Packable Bag Black Sales School Kit,tbd,USD,46.2,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBJB162499.jpg,Inside Joke Emporium,4.0
GGCPGBJB162499,Google Packable Bag Black Sales School Kit,tbd,USD,46.2,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBJB162499.jpg,Fandom Finds,3.3
GGCPGBJB162499,Google Packable Bag Black Sales School Kit,tbd,USD,46.2,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBJB162499.jpg,Fandom Finds,2.5
GGPRGBRJ109599,Google Recycled Cooler Backpack,Bags,USD,30,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGBRJ109599.jpg,Quirk & Co.,3.1
GGPRGBRJ109599,Google Recycled Cooler Backpack,Bags,USD,30,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGBRJ109599.jpg,The Graphic Garage,4.1
GGOEGCBR136499,Google Red YoYo,Accessories,USD,4,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBR136499.jpg,Inside Joke Emporium,4.0
GGOEGBJH124599,Google Seaport Tote,Bags,USD,64,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBJH124599.jpg,Dreamer's Den,3.2
GGOEGBJH124599,Google Seaport Tote,Bags,USD,64,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBJH124599.jpg,Mystic Market,4.2
GGOEGCKH148999,Google Seattle Campus Sticker,Accessories,USD,2,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCKH148999.jpg,Zen Zone,4.3
GGOEGCKH148999,Google Seattle Campus Sticker,Accessories,USD,2,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCKH148999.jpg,Vinyl Vault,4.4
GGOEGBPB021199,Google Slim Utility Travel Bag,Bags,USD,14.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBPB021199.jpg,Rebel Threads,2.9
GGOEGBPB021199,Google Slim Utility Travel Bag,Bags,USD,14.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBPB021199.jpg,Fandom Finds,3.3
GGOEGBPB021199,Google Slim Utility Travel Bag,Bags,USD,14.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBPB021199.jpg,Offbeat Outfitters,2.7
GGOEGBPB021199,Google Slim Utility Travel Bag,Bags,USD,14.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBPB021199.jpg,Quirk & Co.,3.1
GGOEGDNB206499,Google Speckled MiiR Tumbler,Drinkware,USD,42,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB206499.jpg,Mystic Market,4.2
GGOEGDNB206499,Google Speckled MiiR Tumbler,Drinkware,USD,42,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB206499.jpg,Custom Culture,2.7
GGOEGDNB206499,Google Speckled MiiR Tumbler,Drinkware,USD,42,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB206499.jpg,Meme Mart,3.9
GGOEGDNB206499,Google Speckled MiiR Tumbler,Drinkware,USD,42,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB206499.jpg,Ironic Icons,2.5
GGOEGDNB206499,Google Speckled MiiR Tumbler,Drinkware,USD,42,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB206499.jpg,Mystic Market,4.2
GGOEGCBA186399,Google Striped Shoelaces Black,Accessories,USD,5,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA186399.jpg,Canvas Couture,3.4
GGOEGCBA186399,Google Striped Shoelaces Black,Accessories,USD,5,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA186399.jpg,Gadget Guru,3.0
GGOEGBGJ132699,Google Tech Taco,Accessories,USD,4,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBGJ132699.jpg,Motivation Merch,3.1
GGOEGBGJ132699,Google Tech Taco,Accessories,USD,4,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBGJ132699.jpg,Expression Essentials,3.1
GGOEGBGJ132699,Google Tech Taco,Accessories,USD,4,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBGJ132699.jpg,Quirk & Co.,3.1
GGOEGBGJ132699,Google Tech Taco,Accessories,USD,4,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBGJ132699.jpg,Fandom Finds,3.0
GGOEGAEH119718,Google Tee Mint Green,Apparel,USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1197.jpg,Zen Zone,4.3
GGOEGAEH119718,Google Tee Mint Green,Apparel,USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1197.jpg,Fandom Finds,3.3
GGOEGAEH119718,Google Tee Mint Green,Apparel,USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1197.jpg,Print Pop,2.5
GGOEGAEH119718,Google Tee Mint Green,Apparel,USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1197.jpg,The Graphic Garage,3.7
GGOEGAEH119718,Google Tee Mint Green,Apparel,USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1197.jpg,Custom Culture,2.7
GGOEGDNL108699,Google Thermal Tumbler Navy,Drinkware,USD,18,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNL108699.jpg,Misfit Merch,3.8
GGOEGDNL108699,Google Thermal Tumbler Navy,Drinkware,USD,18,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNL108699.jpg,Gadget Guru,3.0
GGOEGDNL108699,Google Thermal Tumbler Navy,Drinkware,USD,18,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNL108699.jpg,Mystic Market,3.0
GGOEGETR014599,Google Tube Power Bank,Electronics,USD,16.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGETR014599.jpg,Custom Culture,3.6
GGOEGETR014599,Google Tube Power Bank,Electronics,USD,16.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGETR014599.jpg,Fandom Finds,2.5
GGOEGETR014599,Google Tube Power Bank,Electronics,USD,16.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGETR014599.jpg,Canvas Couture,3.4
GGOEGETR014599,Google Tube Power Bank,Electronics,USD,16.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGETR014599.jpg,The Graphic Garage,3.7
GGOEGALL060014,Google Women's Short Sleeve Performance Tee Navy,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0600.jpg,Motivation Merch,3.1
GGOEGALL060014,Google Women's Short Sleeve Performance Tee Navy,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0600.jpg,Vinyl Vault,4.4
GGOEGALL060014,Google Women's Short Sleeve Performance Tee Navy,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0600.jpg,Fandom Finds,2.5
GGOEGALJ060114,Google Women's Short Sleeve Performance Tee Pewter,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0601.jpg,Cult Classic Closet,3.6
GGOEGALJ060114,Google Women's Short Sleeve Performance Tee Pewter,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0601.jpg,Cult Classic Closet,3.6
GGOEGALJ060114,Google Women's Short Sleeve Performance Tee Pewter,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0601.jpg,Sarcasm Society,3.0
GGOEGALJ060114,Google Women's Short Sleeve Performance Tee Pewter,Apparel,USD,21.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0601.jpg,Quirk & Co.,4.5
GGOEGAYC135814,Google Youth Badge Tee Navy,Apparel,USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1358.jpg,Sarcasm Society,3.8
GGOEGAYC135814,Google Youth Badge Tee Navy,Apparel,USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1358.jpg,Misfit Merch,3.8
GGOEGAYC135814,Google Youth Badge Tee Navy,Apparel,USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1358.jpg,Canvas Couture,3.4
GGOEGAYC135814,Google Youth Badge Tee Navy,Apparel,USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1358.jpg,Inside Joke Emporium,4.0
GGOEGAYB116715,Google Youth F/C Pullover Hoodie,Apparel,USD,40,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1167.jpg,Fandom Finds,3.3
GGOEGAYB116715,Google Youth F/C Pullover Hoodie,Apparel,USD,40,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1167.jpg,Fandom Finds,2.5
GGOEGAYH067925,Google Youth Girl Tee Green,Apparel,USD,18.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,90s Nostalgia,4.0
GGOEGAYH067925,Google Youth Girl Tee Green,Apparel,USD,18.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,Sarcasm Society,3.8
GGOEGAYH067925,Google Youth Girl Tee Green,Apparel,USD,18.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,Motivation Merch,3.1
GGOEGAYH067925,Google Youth Girl Tee Green,Apparel,USD,18.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,Misfit Merch,3.8
GGOEGAYH067925,Google Youth Girl Tee Green,Apparel,USD,18.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0679.jpg,Meme Mart,3.9
GGCPHAAC114313,Hash Code 1st Place Men's Kit (SM),Kit,USD,180,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,Expression Essentials,3.1
GGCPHAAC114313,Hash Code 1st Place Men's Kit (SM),Kit,USD,180,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,Minimalist Manifesto,3.9
GGCPHAAC114313,Hash Code 1st Place Men's Kit (SM),Kit,USD,180,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,Mystic Market,3.7
GGCPHAAC114313,Hash Code 1st Place Men's Kit (SM),Kit,USD,180,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,Print Pop,2.5
GGCPHAAC114313,Hash Code 1st Place Men's Kit (SM),Kit,USD,180,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPHXXX1143.jpg,Offbeat Outfitters,2.7
