id,title,product_type,currency,cost,image_link,seller_name,color,description,short_description
GGEBCCBA107999,CAB International High Tier - Outdoor,Gifts,USD,77,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Sarcasm Society,3.0,Brown,"Take your next outdoor adventure to the next level with the Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo. This stylish and functional blanket is perfect for picnics, camping, or just lounging in the park. The blanket is made from durable polyester and features a water-resistant backing, so you can stay dry and comfortable even on damp ground. The blanket also has a convenient carrying handle, so you can easily take it with you wherever you go. The 2 glass water bottles are made from durable glass and feature a leak-proof design, so you can stay hydrated without having to worry about spills. The bottles also have a custom logo, so you can show off your brand while youre on the go.",Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo
GGEBCCBA107999,CAB International High Tier - Outdoor,Gifts,USD,74,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Cult Classic Closet,3.6,Brown,"Take your next outdoor adventure to the next level with the Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo. This stylish and functional blanket is perfect for picnics, camping, or just lounging in the park. The blanket is made from durable polyester and features a water-resistant backing, so you can stay dry and comfortable even on damp ground. The blanket also has a convenient carrying handle, so you can easily take it with you wherever you go. The 2 glass water bottles are made from durable glass and feature a leak-proof design, so you can stay hydrated without having to worry about spills. The bottles also have a custom logo, so you can show off your brand while youre on the go.",Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo
GGEBCCBA107999,CAB International High Tier - Outdoor,Gifts,USD,81,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Pop Art Provisions,3.0,Brown,"Take your next outdoor adventure to the next level with the Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo. This stylish and functional blanket is perfect for picnics, camping, or just lounging in the park. The blanket is made from durable polyester and features a water-resistant backing, so you can stay dry and comfortable even on damp ground. The blanket also has a convenient carrying handle, so you can easily take it with you wherever you go. The 2 glass water bottles are made from durable glass and feature a leak-proof design, so you can stay hydrated without having to worry about spills. The bottles also have a custom logo, so you can show off your brand while youre on the go.",Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo
GGEBCCBA107999,CAB International High Tier - Outdoor,Gifts,USD,75,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107199.jpg,Mystic Market,4.2,Brown,"Take your next outdoor adventure to the next level with the Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo. This stylish and functional blanket is perfect for picnics, camping, or just lounging in the park. The blanket is made from durable polyester and features a water-resistant backing, so you can stay dry and comfortable even on damp ground. The blanket also has a convenient carrying handle, so you can easily take it with you wherever you go. The 2 glass water bottles are made from durable glass and feature a leak-proof design, so you can stay hydrated without having to worry about spills. The bottles also have a custom logo, so you can show off your brand while youre on the go.",Picnic Time Avalon Blanket and 2 Glass Water Bottles with Custom Logo
GGEBCCBA108299,CAB International Mid Tier - Workspace,Office Supplies,USD,76,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,Canvas Couture,3.4,Black,Set the stage for success with our Customer Advisory Board Meeting Kit. This kit includes everything you need to facilitate a productive and engaging meeting.,Customer Advisory Board
GGEBCCBA108299,CAB International Mid Tier - Workspace,Office Supplies,USD,87,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,Custom Culture,3.6,Black,Set the stage for success with our Customer Advisory Board Meeting Kit. This kit includes everything you need to facilitate a productive and engaging meeting.,Customer Advisory Board
GGEBCCBA108299,CAB International Mid Tier - Workspace,Office Supplies,USD,76,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA107599.jpg,Fandom Finds,3.3,Black,Set the stage for success with our Customer Advisory Board Meeting Kit. This kit includes everything you need to facilitate a productive and engaging meeting.,Customer Advisory Board
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,32,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,Rebel Threads,2.9,Blue,This blue duffle bag is perfect for carrying your belongings to the gym or on a trip.,Blue Duffel Bag
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,20,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,Quirk & Co.,4.5,Blue,This blue duffle bag is perfect for carrying your belongings to the gym or on a trip.,Blue Duffel Bag
GGCPGBML403499,Canvas Duffle Bag,Bags,USD,17,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBML403499.jpg,Zen Zone,4.3,Blue,This blue duffle bag is perfect for carrying your belongings to the gym or on a trip.,Blue Duffel Bag
GGOEGAAB207512,Chrome Dino Glow-in-the-Dark Unisex Tee,t-shirt,USD,50,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2075.jpg,Expression Essentials,3.1,black,A black t-shirt with a white or green dinosaur on it.,T-Rex Dinosaur T-Shirt
GGOEGAAB207512,Chrome Dino Glow-in-the-Dark Unisex Tee,t-shirt,USD,58,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2075.jpg,Sarcasm Society,3.8,black,A black t-shirt with a white or green dinosaur on it.,T-Rex Dinosaur T-Shirt
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Electronics,USD,67,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Mystic Market,3.7,Black,Google Cloud Certified Professional Cloud Architect,Google Cloud Certified Professional Cloud Architect
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Electronics,USD,72,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Quirk & Co.,3.1,Black,Google Cloud Certified Professional Cloud Architect,Google Cloud Certified Professional Cloud Architect
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Electronics,USD,69,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Print Pop,4.1,Black,Google Cloud Certified Professional Cloud Architect,Google Cloud Certified Professional Cloud Architect
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Electronics,USD,68,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Rebel Threads,2.9,Black,Google Cloud Certified Professional Cloud Architect,Google Cloud Certified Professional Cloud Architect
GGCLCCBA119799,Cloud Architect Recertification Kit & Beta Hat,Electronics,USD,78,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA119799.jpg,Fandom Finds,3.3,Black,Google Cloud Certified Professional Cloud Architect,Google Cloud Certified Professional Cloud Architect
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,55,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,Canvas Couture,3.4,Grey,"This stylish and functional backpack is perfect for carrying your laptop and other essentials. It features a spacious main compartment, a front pocket with organizer, and two side pockets. The adjustable shoulder straps and padded back panel make it comfortable to carry, even on long days.",Laptop Backpack
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,61,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,Mystic Market,4.2,Grey,"This stylish and functional backpack is perfect for carrying your laptop and other essentials. It features a spacious main compartment, a front pocket with organizer, and two side pockets. The adjustable shoulder straps and padded back panel make it comfortable to carry, even on long days.",Laptop Backpack
GGCLCBMJ101599,Cloud Architect Timbuk2 Flip Pack Grey,Bags,USD,58,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCBMJ101599.jpg,Gadget Guru,3.0,Grey,"This stylish and functional backpack is perfect for carrying your laptop and other essentials. It features a spacious main compartment, a front pocket with organizer, and two side pockets. The adjustable shoulder straps and padded back panel make it comfortable to carry, even on long days.",Laptop Backpack
GGEBCCBA112799,Community Playlist Competition Kit,apparel,USD,9,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,Sarcasm Society,3.0,black,"A Google Cloud swag pack including a hat, backpack, and picnic blanket.",Google Cloud Swag
GGEBCCBA112799,Community Playlist Competition Kit,apparel,USD,14,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,Expression Essentials,3.1,black,"A Google Cloud swag pack including a hat, backpack, and picnic blanket.",Google Cloud Swag
GGEBCCBA112799,Community Playlist Competition Kit,apparel,USD,5,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA112799.jpg,Sarcasm Society,3.0,black,"A Google Cloud swag pack including a hat, backpack, and picnic blanket.",Google Cloud Swag
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,Apparel,USD,27,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,Fandom Finds,2.5,Black,"This womens full-zip hoodie is perfect for layering on chilly days. Its made from a soft, mid-weight fabric and features a relaxed fit. The hoodie has a full-zip front closure, a hood with adjustable drawstrings, and two front hand pockets.",Womens Full-Zip Hoodie - Black
GGCECAQJ129115,Data Engineer Women's Full Zip Hoodie,Apparel,USD,27,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCXXX1291.jpg,Fandom Finds,2.5,Black,"This womens full-zip hoodie is perfect for layering on chilly days. Its made from a soft, mid-weight fabric and features a relaxed fit. The hoodie has a full-zip front closure, a hood with adjustable drawstrings, and two front hand pockets.",Womens Full-Zip Hoodie - Black
GGOEGDHR018499,Google 22 oz Water Bottle,Drinkware,USD,67,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHR018499.jpg,Motivation Merch,3.1,Red,This is a water bottle with the Google logo on it.,Google Water Bottle
GGOEGAEJ168617,Google Campus Unisex Zip Hoodie,Apparel,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1686.jpg,Dreamer's Den,3.2,Grey,A hoodie with a colorful print of flags from all over the world.,Flags of the World Unisex Hoodie
GGCPCBBB177999,Google Cloud ASL Packing Cubes,Electronics,USD,12,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Zen Zone,2.7,Black,"The Google Cloud Essentials Bundle is the perfect way to get started with Google Cloud Platform. This bundle includes everything you need to get started, including a $300 credit, a free trial, and access to Googles online training courses.",Google Cloud Platform Essentials
GGCPCBBB177999,Google Cloud ASL Packing Cubes,Electronics,USD,14,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Mystic Market,3.0,Black,"The Google Cloud Essentials Bundle is the perfect way to get started with Google Cloud Platform. This bundle includes everything you need to get started, including a $300 credit, a free trial, and access to Googles online training courses.",Google Cloud Platform Essentials
GGCPCBBB177999,Google Cloud ASL Packing Cubes,Electronics,USD,12,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Quirk & Co.,3.1,Black,"The Google Cloud Essentials Bundle is the perfect way to get started with Google Cloud Platform. This bundle includes everything you need to get started, including a $300 credit, a free trial, and access to Googles online training courses.",Google Cloud Platform Essentials
GGCPCBBB177999,Google Cloud ASL Packing Cubes,Electronics,USD,24,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Gadget Guru,3.0,Black,"The Google Cloud Essentials Bundle is the perfect way to get started with Google Cloud Platform. This bundle includes everything you need to get started, including a $300 credit, a free trial, and access to Googles online training courses.",Google Cloud Platform Essentials
GGCPCBBB177999,Google Cloud ASL Packing Cubes,Electronics,USD,18,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPCBBB177999.jpg,Dreamer's Den,3.2,Black,"The Google Cloud Essentials Bundle is the perfect way to get started with Google Cloud Platform. This bundle includes everything you need to get started, including a $300 credit, a free trial, and access to Googles online training courses.",Google Cloud Platform Essentials
GGSIGBRB101299,Google Cloud GSI Backpack,Backpacks,USD,5,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGBRB101299.jpg,Zen Zone,2.7,Black,"The High Sierra Swerve Laptop Backpack is a great choice for students and professionals alike. It features a spacious main compartment, a padded laptop sleeve, and multiple pockets for organization. The backpack is also made from durable materials and is water-resistant.",High Sierra Swerve Laptop Backpack - Black
GGOECOLJ199399,Google Cloud Large Executive Journal,Office Supplies,USD,98,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECOLJ199399.jpg,Canvas Couture,2.6,Grey,A notebook with the Google Cloud logo on the cover.,Google Cloud Notebook
GGEBCAPJ100410,Google Cloud Leatherette Patch Hat,Apparel,USD,87,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCAPJ100410.jpg,Rebel Threads,2.9,Grey,A classic snapback hat made from 100% cotton. The hat features a grey brim and a grey crown with a brown leather patch with the Patagonia logo on the front.,Patagonia Snapback Hat
GGEBCAPJ100410,Google Cloud Leatherette Patch Hat,Apparel,USD,91,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCAPJ100410.jpg,Print Pop,2.5,Grey,A classic snapback hat made from 100% cotton. The hat features a grey brim and a grey crown with a brown leather patch with the Patagonia logo on the front.,Patagonia Snapback Hat
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Jackets & Vests,USD,69,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Fandom Finds,3.3,Grey,"The Patagonia Mens Better Sweater Fleece Jacket is a classic, versatile piece of outdoor apparel. ",Patagonia Mens Better Sweater Fleece Jacket
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Jackets & Vests,USD,52,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Fandom Finds,3.0,Grey,"The Patagonia Mens Better Sweater Fleece Jacket is a classic, versatile piece of outdoor apparel. ",Patagonia Mens Better Sweater Fleece Jacket
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Jackets & Vests,USD,69,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Canvas Couture,2.6,Grey,"The Patagonia Mens Better Sweater Fleece Jacket is a classic, versatile piece of outdoor apparel. ",Patagonia Mens Better Sweater Fleece Jacket
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Jackets & Vests,USD,69,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Zen Zone,2.7,Grey,"The Patagonia Mens Better Sweater Fleece Jacket is a classic, versatile piece of outdoor apparel. ",Patagonia Mens Better Sweater Fleece Jacket
GGSIGADJ102617,Google Cloud Men's Patagonia Sweater Grey,Jackets & Vests,USD,61,https://shop.googlemerchandisestore.com/store/20181114733/assets/items/images/GGSIGXXX1026.jpg,Fandom Finds,3.3,Grey,"The Patagonia Mens Better Sweater Fleece Jacket is a classic, versatile piece of outdoor apparel. ",Patagonia Mens Better Sweater Fleece Jacket
GGEBCCBQ101599,Google Cloud Sports Towel,Office Supplies,USD,31,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBQ101599.jpg,Sarcasm Society,3.8,White,A notepad with the Google Cloud logo on it.,Google Cloud Notepad
GGEBCCBQ101599,Google Cloud Sports Towel,Office Supplies,USD,38,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBQ101599.jpg,Minimalist Manifesto,3.9,White,A notepad with the Google Cloud logo on it.,Google Cloud Notepad
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,41,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Canvas Couture,3.4,Black,"Unisex heavy blend hooded sweatshirt in black. Front pouch pocket. Matching flat drawstrings. 50% cotton, 50% polyester. Medium-heavy fabric (8.0 oz/yd² (271.25 g/m²)). Classic fit. Tear-away label.",Unisex Zip Hoodie - Black
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,26,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Quirk & Co.,4.5,Black,"Unisex heavy blend hooded sweatshirt in black. Front pouch pocket. Matching flat drawstrings. 50% cotton, 50% polyester. Medium-heavy fabric (8.0 oz/yd² (271.25 g/m²)). Classic fit. Tear-away label.",Unisex Zip Hoodie - Black
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,41,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Zen Zone,4.3,Black,"Unisex heavy blend hooded sweatshirt in black. Front pouch pocket. Matching flat drawstrings. 50% cotton, 50% polyester. Medium-heavy fabric (8.0 oz/yd² (271.25 g/m²)). Classic fit. Tear-away label.",Unisex Zip Hoodie - Black
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,35,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Sarcasm Society,3.8,Black,"Unisex heavy blend hooded sweatshirt in black. Front pouch pocket. Matching flat drawstrings. 50% cotton, 50% polyester. Medium-heavy fabric (8.0 oz/yd² (271.25 g/m²)). Classic fit. Tear-away label.",Unisex Zip Hoodie - Black
GGOECAEB189818,Google Cloud Unisex Onyx Zip Hoodie,Apparel,USD,30,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOECXXX1898.jpg,Minimalist Manifesto,3.9,Black,"Unisex heavy blend hooded sweatshirt in black. Front pouch pocket. Matching flat drawstrings. 50% cotton, 50% polyester. Medium-heavy fabric (8.0 oz/yd² (271.25 g/m²)). Classic fit. Tear-away label.",Unisex Zip Hoodie - Black
GGPRGCBA113415,Google Explorer Set Women's,apparel,USD,86,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGXXX1134.jpg,90s Nostalgia,4.0,black,This is a black jacket with the Google logo on the front.,Google black jacket
GGPRGCBA113415,Google Explorer Set Women's,apparel,USD,74,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGXXX1134.jpg,Custom Culture,2.7,black,This is a black jacket with the Google logo on the front.,Google black jacket
GGCPGAED157110,Google Heathered Pom Beanie,Apparel,USD,35,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGAED157110.jpg,Wanderlust Wardrobe,3.2,White,Unisex white pom pom beanie.,White Pom Pom Beanie
GGCPGAED157110,Google Heathered Pom Beanie,Apparel,USD,47,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGAED157110.jpg,Gadget Guru,3.0,White,Unisex white pom pom beanie.,White Pom Pom Beanie
GGOEGAWR061849,Google Infant Short Sleeve Tee Red,t-shirt,USD,96,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0618.jpg,Canvas Couture,2.6,red,A red t-shirt with the Google logo on it.,Google T-Shirt
GGOEGAWR061849,Google Infant Short Sleeve Tee Red,t-shirt,USD,96,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0618.jpg,Gamer Gear,3.6,red,A red t-shirt with the Google logo on it.,Google T-Shirt
GGOEGAXQ089128,Google Kids Tee White,Clothing,USD,8,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Inside Joke Emporium,4.0,White,A white t-shirt with the Google logo on it.,Google T-Shirt
GGOEGAXQ089128,Google Kids Tee White,Clothing,USD,10,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Fandom Finds,3.3,White,A white t-shirt with the Google logo on it.,Google T-Shirt
GGOEGAXQ089128,Google Kids Tee White,Clothing,USD,8,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Zen Zone,2.7,White,A white t-shirt with the Google logo on it.,Google T-Shirt
GGOEGAXQ089128,Google Kids Tee White,Clothing,USD,8,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Ironic Icons,2.5,White,A white t-shirt with the Google logo on it.,Google T-Shirt
GGOEGAXQ089128,Google Kids Tee White,Clothing,USD,6,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0891.jpg,Ironic Icons,2.5,White,A white t-shirt with the Google logo on it.,Google T-Shirt
GGOEGCBA150799,Google Large Pet Leash (Red/Yellow),pet supplies,USD,31,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA150799.jpg,Fandom Finds,3.3,red,A red dog leash.,Red Dog Leash
GGOEGBTQ125999,Google Large White Gift Bag,Sofas,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Pop Art Provisions,3.0,White,"The Oslo White Sofa is a modern and stylish piece of furniture that is perfect for any living room. This sofa is made with high-quality materials and features a sleek, contemporary design. The Oslo White Sofa is also available in a variety of other colors and styles.",Oslo White Sofa
GGOEGBTQ125999,Google Large White Gift Bag,Sofas,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Meme Mart,3.9,White,"The Oslo White Sofa is a modern and stylish piece of furniture that is perfect for any living room. This sofa is made with high-quality materials and features a sleek, contemporary design. The Oslo White Sofa is also available in a variety of other colors and styles.",Oslo White Sofa
GGOEGBTQ125999,Google Large White Gift Bag,Sofas,USD,100,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Fandom Finds,3.3,White,"The Oslo White Sofa is a modern and stylish piece of furniture that is perfect for any living room. This sofa is made with high-quality materials and features a sleek, contemporary design. The Oslo White Sofa is also available in a variety of other colors and styles.",Oslo White Sofa
GGOEGBTQ125999,Google Large White Gift Bag,Sofas,USD,91,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/noimage.jpg,Minimalist Manifesto,3.9,White,"The Oslo White Sofa is a modern and stylish piece of furniture that is perfect for any living room. This sofa is made with high-quality materials and features a sleek, contemporary design. The Oslo White Sofa is also available in a variety of other colors and styles.",Oslo White Sofa
GGOEGCXH216699,Google Mountain View Campus Socks,Socks,USD,75,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCXH216699.jpg,Expression Essentials,3.1,Multicolor,"These socks are perfect for any occasion, whether youre dressing up or dressing down. Theyre made with a soft and comfortable cotton blend, and they feature a fun and colorful design. These socks are sure to be a hit, so dont miss out!",Novelty Socks - Google
