id,title,product_type,currency,value,image_link,color,description,gender,google_brand
GGCPGAPB153616,Marmot Womens Insulated Jacket,['Jackets & Vests'],USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1536.jpg,['Black'],"The Womens Marmot Insulated Jacket is a lightweight, water-resistant jacket perfect for outdoor activities. The jacket features a quilted design with a down fill for added warmth. It also has a high collar and a zip-up front closure to keep you warm and protected from the elements.",women,Marmot
GGOSGDWA113999,Google Throw Pillow,"['Home & Garden', 'Bedding', 'Pillows']",USD,0,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGCPGDWA171799.jpg,"['White', 'Multicolor']","A white throw pillow with the Google logo in the center. The logo is made up of four different colors: blue, red, yellow, and green.",Unisex,Google
GGCPGCBA201399,OnGuard Pitbull U-Lock,"['Sports & Outdoors', 'Cycling', 'Bike Locks']",USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBA201399.jpg,"['Yellow', 'Black']","The OnGuard Pitbull U-Lock is a heavy duty u-lock with a 14mm hardened steel shackle and a 6ft, 12mm hardened steel cable. It is Sold Secure Gold rated and has a security rating of 9 out of 10. The lock is easy to use and comes with a lifetime warranty.",Unisex,
GGCPGADJ117517,GON Jacket,"['Jackets & Vests', 'Outerwear']",USD,63,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1175.jpg,['Black'],"This GON jacket is a stylish and functional piece of outerwear. It is made of high-quality materials and features a water-resistant finish. The jacket also has a number of pockets for storing your belongings. The jacket is perfect for a variety of occasions, whether youre going to work or just running errands.",men,Google
GGQLQAEQ101014,Qwiklabs T-shirt,"['Clothing', 'Shirts', 'T-shirts']",USD,8,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGQLQXXX1010.jpg,"['White', 'Blue', 'Yellow']",White Qwiklabs T-shirt with a blue and yellow logo.,Unisex,Qwiklabs
GGOSGAEB107116,Season of Docs 2019 Tee,"['Clothing', 'Tops', 'T-shirts']",USD,15,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGCPGXXX1372.jpg,['Black'],A black unisex tee with the Season of Docs 2019 logo on the front and the Google logo on the sleeve.,Unisex,Google
GGCLCCBA126899,Google Cloud Security Engineer Recertification Vacuum Insulated Gift Set,['Drinkware'],USD,60,https://shop.googlemerchandisestore.com/store/20180201712/assets/items/images/GGCLCCBA126899.jpg,['White'],This gift set includes a 12oz vacuum insulated wine tumbler and a 25oz vacuum insulated water bottle. Both are made of stainless steel and are white in colour. The tumbler has a sliding lid and the water bottle has a screw-on lid. Both items are BPA-free and are dishwasher safe. The set is perfect for keeping your drinks hot or cold for hours.,Unisex,Google Cloud
GGOEGATB222914,Super G Glacier Puffer Jacket,"['Jackets & Coats', 'Womens Clothing']",USD,125,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX2229.jpg,['Black'],"This jacket is perfect for winter weather. It is made of high-quality materials and is sure to keep you warm and comfortable all season long. The jacket is also water-resistant and windproof, making it ideal for outdoor activities.",women,Google
GGOEGHPH221510,Google Green Beanie,['Beanies'],USD,30,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGHPH221510.jpg,['Green'],The beanie is made from 100% recycled materials and is designed to keep you warm and comfortable all winter long. The beanie is a dark green color with a small Google logo on the front.,Unisex,Google
GGCPGCBA145499,Google Art Tote Bag,"['Bags', 'Tote Bags']",USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBA145499.jpg,"['White', 'Multicolor']","The Google Art Tote Bag is made of 100% cotton canvas. It is a natural white color with a multicolored design of mountains, waves, and the Google logo.",Unisex,Google
GGCPGBRJ301399,Timbuk2 Incognito Messenger Bag,"['Bags', 'Laptop Bags']",USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGBRJ301399.jpg,"['gray', 'black']","The Timbuk2 Incognito Messenger Bag is a great way to carry your laptop and other essentials. Its made from durable materials and features a comfortable shoulder strap. The bag is also water-resistant, so you can be sure your belongings will stay dry.",unisex,Google
GGCPGAAJ133812,Project Sushi T-shirt,"['Clothing & accessories', 'Tops & tees', 'T-shirts']",USD,31,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1338.jpg,"['gray', 'black', 'red']",This is a set of two t-shirts. The first shirt is a heather gray shirt with a black N3Q logo on the chest. The second shirt is a heather gray shirt with a black and red sushi graphic on the chest. Both shirts are made of 100% cotton and are machine washable.,unisex,Google
GGCPWAEB402312,Waze T-shirt,"['Clothing', 'Tops', 'T-shirts']",USD,26.93,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPWXXX4023.jpg,"['Black', 'White']",The Waze unisex t-shirt is made of 100% cotton and features a relaxed fit. It has a ribbed collar and short sleeves. The shirt is black with a white Waze logo on the chest.,Unisex,Waze
GGOEAKDH019899,Android Collectible Figurine,"['Toys & Games', 'Collectibles & Memorabilia']",USD,3.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAKDH019899.jpg,"['Green', 'White']",This is a collectible figurine of the Android operating system mascot. It is made of plastic and is green and white in color. It is a great gift for any fan of Android.,Unisex,Android
GGCPGALJ122816,Womens Google Play Tee,"['Clothing', 'Accessories']",USD,138,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1228.jpg,"['Grey', 'Multicolor']",A grey womens t-shirt with a multicolored Google Play logo on the front. The shirt is made of 100% cotton and is machine-washable.,women,Google Play
GGPRYAEB110113,YouTube Black Pullover,"['Clothing & Accessories', 'Unisex Clothing', 'Hoodies & Sweatshirts']",USD,60,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRYXXX1101.jpg,"['Black', 'Red']","This unisex YouTube black pullover hoodie is made of 100% cotton and features a relaxed fit. It has a hood with adjustable drawstrings, a kangaroo pocket, and ribbed cuffs and hem. The front of the hoodie is decorated with a red YouTube logo.",Unisex,Youtube
GGOEYOCR077799,YouTube Notebook,"['Journals & Notebooks', 'YouTube']",USD,14.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEYOCR077799.jpg,"['Red', 'Pink']",This YouTube notebook is perfect for taking notes on your favorite videos. Its made with high-quality paper and has a durable cover. The notebook is also a great way to show your support for YouTube.,Unisex,Youtube
GGOEYCBA182599,YouTube Kids T-Rex Keychain,['Keychains'],USD,8,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEYCBA182599.jpg,"['Orange', 'Yellow']",This is a cute and colorful keychain featuring the beloved T-Rex from YouTube Kids. It is made of durable rubber and is sure to be a hit with kids of all ages.,Unisex,Youtube
GGCPGCBC136499,G2G Earbuds,"['Electronics', 'Earbuds']",USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBC136499.jpg,['Blue'],The G2G Earbuds are a great way to listen to music and take calls on the go. They are comfortable to wear and provide clear sound.,Unisex,Google
GGOEADHH015499,Android Water Bottle,"['Drinkware', 'Bottles']",USD,23.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEADHH015499.jpg,"['Green', 'White']",This 24 oz. water bottle is made of durable plastic and features a button lid for easy drinking. The bottle is green with a white Android logo on the front.,Unisex,Android
GGOEABRB130499,Android Backpack,['Backpacks'],USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEABRB130499.jpg,"['Black', 'Green']","The Android Backpack is a great way to show your love for the Android operating system. This backpack is made of durable materials and features a large main compartment, a front pocket, and two side pockets. Its perfect for carrying your everyday essentials, whether youre heading to school, work, or the gym.",Unisex,Android
GGOEAFKQ130699,Android Logo Sticker Sheet,"['Electronics', 'Stickers']",USD,3,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAFKQ130699.jpg,"['White', 'Green', 'Black']","A sticker sheet featuring the Android logo in various sizes. The stickers are made of high-quality vinyl and are perfect for decorating your laptop, water bottle, or anywhere else youd like to show off your Android pride.",Unisex,Android
GGOEAAWL130145,Android Pocket Baby Onesie,"['Clothing', 'Baby Clothing']",USD,22,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAXXX1301.jpg,"['Blue', 'Green']",This navy blue baby onesie features a cute and playful design of the Android mascot peeking out of a pocket. The onesie is made from soft and comfortable cotton and is perfect for keeping your little one cozy and stylish.,Unisex,Android
GGOEAFKA087499,Android Removable Sticker Sheet,"['Electronics', 'Stickers']",USD,2.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEAFKA087499.jpg,"['Green', 'White', 'Yellow', 'Red', 'Blue']","The Android Removable Sticker Sheet is a great way to show your love for Android. This sheet features a variety of Android-themed stickers, including the Android logo, the Android mascot, and various other Android-related designs.",Unisex,Android
GGOEGOKA212399,Chrome Dino Glow-in-the-Dark Sticker,['Electronics > Accessories > Stickers & Decals'],USD,2,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGOKA212399.jpg,"['White', 'Green']","The Chrome Dino Glow-in-the-Dark Sticker is a fun and unique way to decorate your laptop, water bottle, or any other smooth surface. The sticker features the iconic Chrome dinosaur, and it glows in the dark for a fun and eye-catching effect.",Unisex,
GGCOGCBA196499,Thanks Dawg Print,"['Art Prints & Posters', 'Home & Living', 'Gifts']",USD,6,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGCOGCBA196499.jpg,"['Blue', 'Green', 'Yellow', 'Red']",A blue dog wearing a yellow hat with a red propeller on top says Thanks Dawg!,Unisex,
GGOEGDNB198099,Create Design Code Build Cork Bottom Tumbler,['Drinkware'],USD,33,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDNB198099.jpg,"['Black', 'Multicolor']",This black tumbler is made of stainless steel and has a cork bottom. It is perfect for keeping your drinks hot or cold for hours. The tumbler is also dishwasher safe for easy cleaning.,Unisex,
GGOSDFKB101699,Go Sticker,"['Electronics', 'Stickers']",USD,1,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGOSDFKB101699.jpg,"['Black', 'White']","Black and white sticker with the word GO in a stylized font. The G and O are connected, and there are three lines to the left of the G to imply speed.",Unisex,N/A
GGOSDFBC102799,Go Patch,"['Apparel & Accessories', 'Patches']",USD,2,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGOSDFBC102799.jpg,"['Blue', 'White']",The Go patch is a great way to show your support for the Go programming language. Its made of high-quality materials and is sure to last.,Unisex,Google
GGOEGPJR018999,Google Flying Disc,"['Sports & Outdoors', 'Toys & Games']",USD,1.5,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGPJR018999.jpg,"['Red', 'White']","The Google 7-inch Dog Flying Disc is a fun and interactive way to play with your pet. Made of durable plastic, this frisbee is designed to withstand hours of play. The bright red color makes it easy to spot in the grass or snow.",Unisex,Google
GGCPGCBA189399,Android Beanie,"['apparel', 'hats']",USD,14.98,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGCBA189399.jpg,"['yellow', 'brown']",This yellow beanie is made of 100% acrylic and features the Android logo on the front. It is perfect for keeping warm in cold weather.,unisex,Android
GGCPGDWC129999,Google Campus Bike Mug,"['Home & Garden', 'Mugs']",USD,0,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDWC122799.jpg,"['Blue', 'Yellow', 'Brown']","The Google Campus Bike Corkbase Mug is a blue mug with a cork bottom. It features a design of a yellow bicycle with a basket on the front. The mug is perfect for coffee, tea, or any other hot beverage.",Unisex,Google
GGOEGAEC119312,Google Bike T-shirt,"['Apparel', 'T-shirts']",USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1193.jpg,"['Blue', 'Multicolor']",A heather blue t-shirt with a multi-color bicycle graphic on the front.,Unisex,Google
GGOEGDHB163199,Google Chrome Dino Light Up Water Bottle,"['Drinkware', 'Bottles']",USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDHB163199.jpg,"['Black', 'White']","The Google Chrome Dino Light Up Water Bottle is a fun and functional way to stay hydrated. The bottle features aのデザイン of the iconic Chrome dinosaur, and it lights up when you take a sip. The bottle is made of durable plastic and has a capacity of 16 ounces.",Unisex,Google
GGOEGFKA201499,Google Classic Sticker Sheet,"['Electronics', 'Stickers']",USD,3,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGFKA201499.jpg,"['White', 'Blue', 'Red', 'Yellow', 'Green']",A sheet of stickers with the Google logo in various colours.,Unisex,Google
GGOEGAXQ196128,Google Toddler Tee,"['Clothing', 'Tops', 'T-shirts']",USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1961.jpg,"['White', 'Multicolor']","This is a white toddler tee with the Google logo on the front. The logo is made up of the words ""Google"" in blue, red, yellow, and green letters.",Unisex,Google
GGCPCAEC100018,Google Cloud T-shirt,"['Clothing', 'Tops', 'T-shirts']",USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1000.jpg,"['Blue', 'Multicolor']",A blue t-shirt with the Google Cloud logo on the front.,Unisex,Google Cloud
GGEBCCBA101699,Google Cloud Puffy Stickers,['Stickers'],USD,0,https://shop.googlemerchandisestore.com/store/20210125633/assets/items/images/GGEBCCBA101699.jpg,['Multicolor'],"The puffy stickers are made of high-quality materials and are durable. The stickers are easy to apply and remove, and they will not damage your walls or furniture.",Unisex,Google Cloud
GGCPGFKA130899,Emoji Sticker Pack,"['Emojis', 'Stickers']",USD,0,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGFKA086699.jpg,"['Yellow', 'White', 'Multicolor']","A pack of stickers featuring various emojis. The stickers are made of a durable vinyl material and are perfect for decorating laptops, water bottles, and other items. The pack includes a variety of emojis, including happy faces, sad faces, animals, and objects.",Unisex,Google
GGOEGBBJ132799,Google Felt Luggage Tag,"['Luggage & Bags', 'Baggage Tags']",USD,11,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBBJ132799.jpg,"['Grey', 'Brown']",The Google Felt Luggage Tag is made of high-quality felt material and features a leather strap for easy attachment to your luggage. The tag is grey with a black Google logo.,unisex,Google
GGOEGAXJ164928,Google Kids Zip Hoodie,"['Clothing', 'Jackets & Coats']",USD,35,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1649.jpg,['Gray'],"This zip hoodie is made of 100% cotton and features a front zip closure, hood, and two front pockets. The hoodie is gray and has a white Google logo on the front.",Unisex,Google
GGOEGDWM145899,Google Los Angeles Mug,['Drinkware'],USD,12,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDWM145899.jpg,"['Blue', 'White']",This is a blue mug with a white logo of Google Los Angeles on it.,Unisex,Google
GGCOGBJD157199,Google Land & Sea Tote Bag,"['Bags', 'Tote Bags']",USD,20,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGCOGBJD157199.jpg,"['White', 'Multicolor']","The Google Land & Sea Tote Bag is made of 100% cotton canvas. It is a natural off-white color with a multicolor design of waves, mountains, and the Google logo. The bag is sturdy and durable, perfect for carrying your everyday essentials.",Unisex,Google
GGOEGBRB013899,Google Laptop Backpack,['Backpacks'],USD,99.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBRB013899.jpg,"['Black', 'Grey']","The Google Laptop Backpack is a stylish and functional backpack perfect for carrying your laptop and other essentials. It features a spacious main compartment, a front pocket for smaller items, and two side pockets for water bottles or an umbrella. The backpack is made from durable materials and has a comfortable padded back and shoulder straps.",Unisex,Google
GGOEGCBA169199,Google Campus Patch Set,"['Clothing & accessories', 'Patches & pins']",USD,16,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA169199.jpg,"['Red', 'Blue', 'Yellow', 'Green']","Set of three patches featuring the Google logo, the MTV logo, and a dinosaur skull. The patches are made of embroidered fabric and have a hook-and-loop backing.",Unisex,Google
GGOEGAEH153013,Mountain View Google T-shirt,"['Clothing', 'Tops', 'T-shirts']",USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1530.jpg,"['Green', 'Blue']",A green t-shirt with the words Mountain View and a dinosaur skull in the center. The shirt is made of 100% cotton and is machine-washable.,Unisex,Google
GGOEGAEJ153418,Google Mountain View Campus Zip Hoodie,"['Clothing', 'Unisex Clothing', 'Unisex Hoodies & Sweatshirts']",USD,58,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1534.jpg,['Grey'],A grey zip hoodie with the Google Mountain View campus logo on the front.,Unisex,Google
GGOEGAXL089428,Google Kids T-Shirt,"['Apparel & Accessories', 'Tops & Tees', 'T-shirts']",USD,19.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX0894.jpg,"['Blue', 'Multicolor']",This navy blue pocket tee features the Google logo on the pocket and is made from 100% cotton. Its perfect for everyday wear and is sure to keep your little one comfortable all day long.,Unisex,Google
GGOEGCBA194599,Google Rainbow Lanyard,['Lanyards'],USD,6,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA194599.jpg,['Multicolor'],"The Google Rainbow Lanyard is a colorful and stylish way to keep your keys, ID, or other small items secure. The lanyard is made of durable polyester and features a rainbow of colors, with the Google logo printed on the front. Its the perfect accessory for any Google fan!",Unisex,Google
GGOEGOBA185799,Google Branded Pencils,"['Office supplies', 'Art supplies']",USD,8,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGOBA185799.jpg,"['White', 'Multicolor']",A set of four pencils in white with the Google logo printed on the side in rainbow colours.,Unisex,Google
GGPRGCBA117499,Google Recycled Backpack Kit,"['Backpacks', 'Duffel Bags', 'Laptop Bags']",USD,87,https://shop.googlemerchandisestore.com/store/20210405858/assets/items/images/GGPRGCBA117499.jpg,"['Blue', 'Black']","This Google Recycled Backpack Kit includes a blue recycled backpack and a grey water bottle. The backpack is made from recycled materials and features a spacious main compartment, a front pocket, and two side pockets. The water bottle is made from BPA-free plastic and features a leak-proof lid.",Unisex,Google
GGOEGBJK207499,Google Drawstring Bag,"['Bags', 'Tote Bags']",USD,8,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBJK207499.jpg,"['beige', 'white']","This Google tote bag is made from recycled materials and features a large main compartment with a drawstring closure. It also has a small front pocket with a zipper closure. The bag is perfect for carrying your everyday essentials, and its a great way to show your support for Google.",unisex,Google
GGOEGOAA017199,Google Promotional Grip Ballpoint Pens,"['Office supplies', 'Pens']",USD,4.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGOAA017199.jpg,"['Green', 'White']",Promotional ballpoint pens with a green barrel and white grip. The pens have the Google logo printed on the barrel.,Unisex,Google
GGOEGDWJ146799,Google San Francisco Mug,"['Drinkware', 'Mugs']",USD,12,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGDWJ146799.jpg,"['Black', 'White']",The Google San Francisco Mug is a black and white mug with the Google logo on it. It is made of ceramic and is dishwasher safe.,Unisex,Google
GGOEGCBC148599,Google Seattle Campus Lapel Pin,['Pins & Buttons'],USD,6,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBC148599.jpg,"['Blue', 'White']","The Google Seattle Campus Lapel Pin is a blue and white enamel pin featuring the Google logo and the words ""Seattle, Washington"".",Unisex,Google
GGOEGAEH148715,Google Seattle Campus Unisex Tee,"['Clothing', 'Tops', 'T-shirts']",USD,25,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1487.jpg,"['Black', 'Green']",A black unisex tee with a white and blue print of the words Seattle and Washington in a circle.,Unisex,Google
GGOEGKNR166699,Google Red Frisbee,"['Sports and Outdoors', 'Toys and Games']",USD,5,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGKNR166699.jpg,"['Red', 'White']","The Google Soft Frisbee is a fun and interactive way to play with your friends, family, and pets. It is made of a soft, durable material that is gentle on your hands and will not hurt your dogs teeth. The frisbee is also lightweight and easy to throw, making it perfect for all ages.",Unisex,Google
GGOEGBJD152599,Sunnyvale Tote Bag,"['Bags', 'Totes']",USD,11,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBJD152599.jpg,"['beige', 'black']","The Sunnyvale Tote Bag is a stylish and eco-friendly way to carry your everyday essentials. Made from 100% cotton canvas, this tote bag is sturdy and durable. The spacious main compartment is perfect for carrying your laptop, books, or groceries. The two front pockets are great for storing smaller items, such as your phone, keys, or wallet. The Sunnyvale Tote Bag is the perfect size for everyday use. Its not too big and not too small, so you can easily carry it with you wherever you go.",unisex,Google
GGCOGAXT154229,Google Take Your Child to Work Day Toddler Tee,"['Clothing', 'Tops', 'T-shirts']",USD,23,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1542.jpg,['Yellow'],"The Google Take Your Child to Work Day Toddler Tee is made from 100% cotton and features a ribbed crew neck. The shirt is yellow with a large Google logo on the front. The logo is made up of the words ""Google"" in blue, with a green Android mascot in the middle. The shirt is perfect for showing your little one how much you love Google.",Unisex,Google
GGOEGAXH135729,Google Toddler Hero Tee,"['Clothing & Accessories', 'Tops & Tees', 'T-shirts']",USD,24,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1357.jpg,"['olive', 'white']","Let your little one show off their tech-savvy side with this Google toddler hero tee. This shirt is made from a soft and comfortable cotton blend, and features the Google logo in a bold white print. Its perfect for everyday wear or for special occasions.",unisex,Google
GGOEGBJC014399,Google Tote Bag,"['Bags', 'Tote Bags']",USD,9.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGBJC014399.jpg,"['Black', 'Blue']",The Google Tote Bag is a great way to carry your belongings around. It is made of durable materials and has a large capacity. The bag is black with blue accents and features the Google logo on the front.,Unisex,Google
GGOEGATJ137216,Google Womens Tech Fleece Vest,"['Apparel & Accessories', 'Vests']",USD,79,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGXXX1372.jpg,"['Black', 'Charcoal']","The Google Womens Tech Fleece Vest is a lightweight and versatile vest perfect for layering on chilly days. It features a water-resistant finish and a soft, fleece lining for added warmth. The vest also has two zippered hand pockets and an adjustable hem. A great layering piece for any outdoor activity.",women,Google
GGOEGAYC075356,Google Youth Tee Fruit Games Cherries,"['Apparel & Accessories', 'Tops & T-shirts']",USD,25.99,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGAAX0753.jpg,"['Blue', 'Red', 'Green']",A blue t-shirt with a graphic of two cherries wearing headbands and gloves.,Unisex,Google
GGCPGADB159316,GTech Puffer Jacket,['Jackets & Coats'],USD,0,https://shop.googlemerchandisestore.com/store/20190522377/assets/items/images/GGCPGXXX1593.jpg,['Black'],"This jacket is a great addition to any wardrobe. It is lightweight and water-resistant, making it perfect for a variety of weather conditions. The jacket also has a hood and zip pockets, making it both stylish and functional.",Unisex,GTech
GGCLCAEB124215,Network Engineer Hoodie and Hat,"['Clothing', 'Unisex']",USD,0,https://shop.googlemerchandisestore.com/store/20230615372/assets/items/images/GGCLCXXX1242.jpg,"['Black', 'Multicolor']",This black unisex full zip hoodie is made of 50% cotton and 50% polyester. It features a front zip closure and a hood with drawstrings. The hoodie has a black embroidered logo on the left chest and a large multi-color logo on the back. The hat is a black baseball cap with a multi-color logo on the front.,Unisex,Google Cloud
GGOEGCBA215099,Noto Emoji Shoelaces,"['Accessories', 'Unisex']",USD,5,https://shop.googlemerchandisestore.com/store/20160512512/assets/items/images/GGOEGCBA215099.jpg,"['White', 'Black']",White shoelaces with black emoji graphics.,Unisex,Google
GGOSGHEJ108699,Google Open Source Carhartt Watch Hat,"['Apparel & Accessories', 'Unisex Hats & Caps']",USD,0,https://shop.googlemerchandisestore.com/store/20200306486/assets/items/images/GGOSGHEJ108699.jpg,"['Black', 'White']","Unisex, Acrylic Watch Hat. Grey with white Google Open Source logo.",Unisex,Google Open Source
